date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2022/11/2,2023,0,,HOU,LAC,1339.011224,1472.264056,0.452290915,0.547709085,1331.011067,1480.264214,,,,,,,1297.62976,1495.364645,0.325020133,0.674979867,101,109,12,15,14
2022/11/2,2023,0,,SAS,TOR,1508.866997,1557.413013,0.573511588,0.426488412,1474.749867,1591.530143,,,,,,,1375.750795,1572.807249,0.344033786,0.655966214,100,143,37,28,33
2022/11/2,2023,0,,DAL,UTA,1602.010476,1570.464974,0.680753509,0.319246491,1605.240165,1567.235285,,,,,,,1622.235576,1535.500543,0.723448379,0.276551621,103,100,79,31,55
2022/11/2,2023,0,,POR,MEM,1370.136813,1591.117279,0.332606539,0.667393461,1365.868559,1595.385533,,,,,,,1414.763595,1591.868614,0.357280353,0.642719647,106,111,50,39,45
2022/11/2,2023,0,,LAL,NOP,1425.320853,1584.562424,0.415561267,0.584438733,1432.18071,1577.702567,,,,,,,1461.791502,1549.219824,0.478583732,0.521416268,120,117,52,34,43
2022/11/3,2023,0,,ORL,GSW,1365.366749,1602.391727,0.312430863,0.687569137,1371.609236,1596.14924,,,,,,,1337.554274,1583.03642,0.262644703,0.737355297,130,129,30,11,21
2022/11/3,2023,0,,OKC,DEN,1403.74285,1511.322072,0.489094353,0.510905647,1392.429036,1522.635886,,,,,,,1383.337562,1601.108167,0.321977112,0.678022888,110,122,44,10,27
2022/11/4,2023,0,,DET,CLE,1371.575574,1554.024322,0.383524957,0.616475043,1358.175325,1567.424571,,,,,,,1351.99952,1427.135814,0.504597311,0.495402689,88,112,12,10,11
2022/11/4,2023,0,,PHI,NYK,1568.354172,1502.67377,0.721865307,0.278134693,1560.312365,1510.715576,,,,,,,1576.81659,1532.648509,0.660005473,0.339994527,104,106,72,43,58
2022/11/4,2023,0,,WAS,BRK,1449.825264,1466.268132,0.617982452,0.382017548,1412.709242,1503.384154,,,,,,,1444.91769,1465.154838,0.572944502,0.427055498,86,128,32,50,41
2022/11/4,2023,0,,IND,MIA,1410.342193,1579.928549,0.401175096,0.598824904,1416.470216,1573.800526,,,,,,,1468.068688,1554.960227,0.48874316,0.51125684,101,99,55,40,48
2022/11/4,2023,0,,BOS,CHI,1632.276017,1480.404781,0.809981102,0.190018898,1634.276437,1478.40436,,,,,,,1660.169115,1497.186076,0.794858447,0.205141553,123,119,78,17,48
2022/11/4,2023,0,,MEM,CHO,1595.385533,1509.212654,0.744919549,0.255080451,1605.328874,1499.269313,,,,,,,1598.804229,1371.580875,0.84259918,0.15740082,130,99,41,13,27
2022/11/4,2023,0,,SAS,LAC,1474.749867,1480.264214,0.63271992,0.36728008,1463.233515,1491.780565,,,,,,,1445.386585,1498.111841,0.535298108,0.464701892,106,113,39,51,45
2022/11/4,2023,0,,NOP,GSW,1577.702567,1596.14924,0.615255628,0.384744372,1584.733897,1589.11791,,,,,,,1569.128418,1264.058729,0.915847791,0.084152209,114,105,15,8,12
2022/11/4,2023,0,,DAL,TOR,1605.240165,1591.530143,0.658039,0.341961,1607.774017,1588.996291,,,,,,,1625.841117,1601.290449,0.640463517,0.359536483,111,110,88,11,50
