eloh_pre,eloa_pre,eloh_post,eloa_post,Result
1515.00743,1495.587067,1501.648473,1508.946024,0
1482.172597,1304.843059,1473.534191,1313.481465,0
1441.082479,1546.707007,1433.509001,1554.280486,0
1596.065324,1663.706108,1576.420432,1683.351,0
1485.139572,1554.280486,1495.489462,1543.930596,1
1501.648473,1495.631278,1509.599904,1487.679847,1
1696.324121,1528.901787,1701.255688,1523.97022,1
1350.074301,1622.785651,1345.45472,1627.405233,0
1575.838033,1588.67388,1563.679717,1600.832196,0
1509.979606,1508.946024,1518.109352,1500.816277,1
1457.788336,1524.788971,1441.319035,1541.258272,0
1492.22885,1433.230703,1494.279379,1431.180174,1
1473.534191,1498.489104,1477.686404,1494.336891,1
1313.481465,1487.679847,1300.849019,1500.312293,0
1433.509001,1307.725513,1438.610585,1302.623929,1
1576.420432,1661.45457,1585.62503,1652.249972,1
1495.489462,1543.930596,1479.378034,1560.042024,0
1526.425927,1300.161359,1527.442133,1299.145153,1
1530.411344,1558.310942,1545.239668,1543.482618,1
1541.258272,1431.180174,1546.319509,1426.118937,1
1483.376617,1683.351,1470.596209,1696.131408,0
1509.599904,1345.45472,1512.091568,1342.963056,1
1479.378034,1438.610585,1486.827781,1431.160837,1
1500.312293,1299.145153,1503.127645,1296.329801,1
1494.336891,1627.405233,1482.465069,1639.277055,0
1302.623929,1600.832196,1297.759984,1605.696141,0
1475.242434,1441.319035,1464.464498,1452.096971,0
1300.849019,1500.816277,1290.31073,1511.354567,0
1523.97022,1639.277055,1537.564651,1625.682624,1
1527.442133,1701.255688,1545.5103,1683.187521,1
1546.319509,1545.239668,1553.624075,1537.935103,1
1511.354567,1494.279379,1522.851966,1482.78198,1
1563.679717,1342.963056,1545.712648,1360.930125,0
1518.109352,1652.249972,1513.866646,1656.492678,0
1560.042024,1470.596209,1563.419909,1467.218325,1
1477.686404,1426.118937,1487.185374,1416.619967,1
1512.091568,1585.62503,1534.23904,1563.477558,1
1482.465069,1656.492678,1475.204381,1663.753367,0
1605.696141,1487.185374,1607.516873,1485.364641,1
1464.464498,1683.187521,1460.588971,1687.063048,0
1563.477558,1537.935103,1552.944613,1548.468048,0
1486.827781,1482.78198,1467.032944,1502.576817,0
1296.329801,1545.712648,1290.148314,1551.894135,0
